player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jake Bargas,47044,FB,MIN,1,0,18,60.0,100.0,1,20.0,1,70.6,0,100.0,5,5,59.1,100.0,2,40.0,2
Troymaine Pope,11473,HB,LAC,5,0,27,,0.0,0,0.0,3,60.0,0,25.0,5,20,,0.0,0,0.0,10
Kevin White,9440,WR,SF,1,0,28,,,0,0.0,0,54.6,0,100.0,5,5,54.6,100.0,5,100.0,5
D'haquille Williams,11366,WR,BUF,1,0,4,60.0,100.0,1,25.0,1,60.0,0,100.0,4,4,60.0,100.0,1,25.0,1
Juwann Winfree,38275,WR,GB,2,0,12,60.0,100.0,1,25.0,1,79.3,0,100.0,4,4,79.7,100.0,3,75.0,3
Tony Brown,48344,WR,WAS,1,0,32,53.3,100.0,4,100.0,4,53.3,0,100.0,4,4,,,0,0.0,0
Ito Smith,45932,HB,ATL,12,0,2,,0.0,0,0.0,19,60.0,0,5.7,4,70,,0.0,0,0.0,46
Trayveon Williams,45775,HB,CIN,6,0,7,,0.0,0,0.0,5,60.0,0,13.3,4,30,60.0,5.0,1,25.0,20
Ty Johnson,45769,HB,NYJ,9,0,22,,0.0,0,0.0,9,59.5,0,6.9,4,58,59.6,6.3,3,75.0,48
David Steinmetz,46936,T,WAS,1,0,32,71.5,100.0,3,75.0,3,71.8,0,100.0,4,4,,,0,0.0,0
Antwaun Woods,11332,DI,DAL,3,0,9,57.9,100.0,2,50.0,2,56.9,0,100.0,4,4,60.0,100.0,1,25.0,1
Farrod Green,47033,TE,IND,1,0,14,60.0,100.0,1,25.0,1,60.1,0,100.0,4,4,,,0,0.0,0
Theo Riddick,7980,HB,LV,3,0,23,,0.0,0,0.0,2,60.0,0,40.0,4,10,60.1,42.9,3,75.0,7
Jason Croom,12145,TE,PHI,3,0,24,,,0,0.0,0,60.0,0,100.0,4,4,60.0,100.0,2,50.0,2
Adrian Killins Jr.,42425,WR,PHI,1,0,24,58.8,100.0,2,50.0,2,59.0,0,80.0,4,5,60.0,100.0,2,50.0,2
Ben Braden,23112,G,GB,1,0,12,80.9,100.0,3,75.0,3,81.7,0,100.0,4,4,,,0,0.0,0
Jordan Thomas,42062,TE,NE,1,0,19,60.0,100.0,1,25.0,1,58.4,0,100.0,4,4,58.7,100.0,2,50.0,2
Keith Ismael,41878,C,WAS,1,0,32,58.7,100.0,3,75.0,3,59.0,0,100.0,4,4,,,0,0.0,0
Derek Carrier,7406,TE,LV,3,0,23,67.0,100.0,3,75.0,3,64.4,0,100.0,4,4,,,0,0.0,0
Rodney Smith,26306,HB,CAR,7,0,5,60.0,9.5,2,50.0,21,75.3,0,8.9,4,45,,0.0,0,0.0,22
Antonio Williams,40197,HB,BUF,1,0,4,,0.0,0,0.0,3,60.0,0,25.0,4,16,,0.0,0,0.0,9
Marken Michel,10980,WR,CAR,1,0,5,60.0,100.0,1,33.3,1,60.1,0,100.0,3,3,59.9,100.0,2,66.7,2
Justin March-Lillard,10065,LB,DAL,3,0,9,,,0,0.0,0,58.8,0,100.0,3,3,,,0,0.0,0
Tevin Coleman,9506,HB,SF,7,0,28,,0.0,0,0.0,13,60.0,0,9.7,3,31,60.0,6.3,1,33.3,16
Jonathan Ward,25859,FB,ARZ,1,0,1,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
Derrick Willies,48345,WR,CLV,1,0,8,60.0,100.0,1,33.3,1,60.0,0,100.0,3,3,,,0,0.0,0
Cameron Tom,12227,C,NO,1,0,20,60.0,100.0,2,66.7,2,60.0,0,100.0,3,3,60.0,100.0,1,33.3,1
Isaiah Wilson,59704,T,TEN,1,0,31,,,0,0.0,0,60.0,0,100.0,3,3,,,0,0.0,0
C.J. Goodwin,9243,S,DAL,3,0,9,,,0,0.0,0,58.4,0,100.0,3,3,,,0,0.0,0
Donovan Wilson,49408,S,DAL,3,0,9,,,0,0.0,0,58.4,0,100.0,3,3,,,0,0.0,0
Dede Westbrook,11865,WR,JAX,1,0,15,60.0,100.0,2,66.7,2,60.0,0,100.0,3,3,60.0,100.0,1,33.3,1
